date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2018-09-10,19.6,13.8,25.8,,,,7,,1022.1,
2018-09-11,22.4,15.8,27.8,,,,10,,1022.5,
2018-09-12,22,14.8,28.8,,,,8,,1021.8,
2018-09-13,21,14.8,27.8,,,,9,,1016.9,
2018-09-14,19.4,14.8,23.8,,,311,11,,1016.6,
2018-09-15,19.1,15.8,23.8,,,,13,,1020.7,
2018-09-16,17.8,12.8,22.8,,,,6,,1024.3,
2018-09-17,19.3,13.8,25.8,,,,10,,1022.1,
2018-09-18,19.2,12.8,26.8,,,103,14,,1020.5,
2018-09-19,18.7,11.8,25.8,,,,7,,1020.7,
2018-09-20,19.9,13.8,26.8,,,,5,,1020.4,
2018-09-21,19.5,12.8,26.8,,,90,12,,1015.2,
2018-09-22,15.8,11.8,20.8,,,,19,,1019.6,
2018-09-23,14.8,12.8,17.8,,,193,12,,1016.9,
2018-09-24,12.1,8.8,16.8,,,310,25,,1021,
2018-09-25,9.5,6.8,12.8,,,320,16,,1034.1,
2018-09-26,8.4,0.8,14.8,,,169,9,,1037.4,
2018-09-27,11.4,3.8,20.8,,,,5,,1030.2,
2018-09-28,14,6.8,21.8,,,,9,,1020.5,
2018-09-29,12.3,8.8,15.8,,,313,20,,1024.3,
2018-09-30,9.7,4.8,15.8,,,149,12,,1022.1,
2018-10-01,9.8,3.8,15.8,,,,11,,1012.6,
2018-10-02,10.3,7.8,12.8,,,286,17,,1018.3,
2018-10-03,13.1,9.8,15.8,,,274,18,,1020.4,
2018-10-04,11.6,4.8,16.8,,,240,10,,1027.9,
2018-10-05,11,4.8,19.8,,,91,14,,1026.7,
2018-10-06,13.7,6.8,22.8,,,105,16,,1018.8,
2018-10-07,15.4,11.8,19.8,,,,8,,1014.4,
2018-10-08,16.1,11.8,21.8,,,335,8,,1020.1,
2018-10-09,14.6,8.8,21.8,,,,8,,1023.5,
2018-10-10,14.9,8.8,22.8,,,96,9,,1024.8,
2018-10-11,15.1,8.8,23.8,,,86,11,,1023.6,
2018-10-12,14.4,8.8,21.8,,,141,10,,1026.5,
2018-10-13,13.8,7.8,21.8,,,138,10,,1027.5,
2018-10-14,13.5,6.8,21.8,,,73,12,,1024,
2018-10-15,13.3,6.8,19.8,,,,12,,1022.2,
2018-10-16,12.4,7.8,18.8,,,88,11,,1021.6,
2018-10-17,13.8,8.8,18.8,,,,9,,1020.8,
2018-10-18,14.9,9.8,19.8,,,,7,,1018.9,
2018-10-19,13,5.8,18.8,,,,12,,1020.2,
2018-10-20,12.8,8.8,16.8,,,297,15,,1024.1,
2018-10-21,9.6,6.8,12.8,,,325,21,,1025.3,
2018-10-22,10.7,7.8,14.8,,,319,10,,1025.4,
2018-10-23,11.7,9.8,13.8,,,288,22,,1020.4,
2018-10-24,10.2,7.8,12.8,,,308,34,,1010.4,
2018-10-25,11.7,6.8,15.8,,,,23,,1014.4,
2018-10-26,12.6,7.8,14.8,,,196,14,,1011.4,
2018-10-27,9.1,5.8,11.8,,,,9,,1007,
2018-10-28,11.6,8.8,13.8,,,173,9,,1005.8,
2018-10-29,17.3,12.8,20.8,,,160,16,,1004.8,
2018-10-30,16.6,12.8,18.8,,,158,29,,1006.2,
2018-10-31,11.8,5.8,18.8,,,,14,,1020.2,
2018-11-01,12.7,7.8,18.8,,,109,14,,1019.8,
2018-11-02,13.7,7.8,18.8,,,,10,,1021.3,
2018-11-03,13.9,11.8,15.8,,,300,12,,1024,
2018-11-04,11.1,7.8,15.8,,,,8,,1021.1,
2018-11-05,10,6.8,15.8,,,74,11,,1019.3,
2018-11-06,10,5.8,16.8,,,65,14,,1018.6,
2018-11-07,10,6.8,14.8,,,63,14,,1018,
2018-11-08,9.3,4.8,13.8,,,,10,,1021,
2018-11-09,8.1,4.8,12.8,,,131,9,,1019.4,
2018-11-10,7.7,3.8,10.8,,,130,14,,1015.7,
2018-11-11,8.4,5.8,12.8,,,73,11,,1017.2,
2018-11-12,10.6,6.8,16.8,,,,12,,1022.4,
2018-11-13,9.8,6.8,11.8,,,,11,,1025.3,
2018-11-14,9,3.8,12.8,,,,13,,1030,
2018-11-15,5.3,1.8,10.8,,,,7,,1029.4,
2018-11-16,,,,,,,,,,
2018-11-17,,,,,,,,,,
2018-11-18,,,,,,,,,,
2018-11-19,2.5,0.8,3.8,,,,9,,1016.5,
2018-11-20,2.8,0.8,3.8,,,73,15,,1014.6,
2018-11-21,5.1,3.8,5.8,,,74,9,,1016.3,
2018-11-22,5.2,4.8,5.8,,,92,8,,1021.5,
2018-11-23,5.4,4.8,5.8,,,124,16,,1023.9,
2018-11-24,5.3,4.8,5.8,,,,15,,1017.1,
2018-11-25,5.6,4.8,6.8,,,40,11,,1011.6,
2018-11-26,6.4,3.8,7.8,,,139,15,,1002.4,
2018-11-27,,,,,,,,,,
2018-11-28,,,,,,,,,,
2018-11-29,,,,,,,,,,
2018-11-30,-3.1,-5.2,-1.2,,,125,22,,1025.3,
2018-12-01,-3.1,-4.2,-2.2,,,130,11,,1021.2,
2018-12-02,,,,,,,,,,
2018-12-03,,,,,,,,,,
2018-12-04,5.5,1.8,12.8,,,271,15,,1014.3,
2018-12-05,2.2,-4.2,5.8,,,222,11,,1028.2,
2018-12-06,,,,,,,,,,
2018-12-07,1.8,0.8,3.8,,,39,11,,1017.2,
2018-12-08,4.9,1.8,8.8,,,238,14,,1010.2,
2018-12-09,5.8,2.8,9.8,,,,14,,1003.5,
2018-12-10,5.8,2.8,7.8,,,289,23,,1011,
2018-12-11,2.8,1.8,4.8,,,263,22,,1014.1,
2018-12-12,,,,,,,,,,
2018-12-13,-1.1,-1.8,-0.8,,,,7,,1020.7,
2018-12-14,-1.8,-2.8,-0.8,,,164,10,,1022.1,
2018-12-15,-1.2,-1.8,-0.8,,,323,20,,1021.8,
2018-12-16,-1.4,-1.8,-0.8,,,196,14,,1018.5,
2018-12-17,-2.1,-5.2,0.8,,,,6,,1022.9,
2018-12-18,,,,,,,,,,
2018-12-19,,,,,,,,,,
2018-12-20,-4.2,-5.2,-3.2,,,75,13,,1023,
2018-12-21,-1.2,-3.2,1.2,0,,140,16,,1020.5,
2018-12-22,7.5,1.1,11.4,1.8,,235,25,,1013.8,
2018-12-23,8,5.8,9.8,3.3,,264,18,,1018.8,
2018-12-24,4.4,2.8,5.8,28.3,,277,21,,1015.8,
2018-12-25,2.7,0.8,3.8,0.4,,299,23,,1028.1,
2018-12-26,4.2,2.8,5.8,0,,290,22,,1027.7,
2018-12-27,5.6,3.8,7.8,0,,286,14,,1025.7,
2018-12-28,6.4,3.8,8.8,0,,296,20,,1023.1,
2018-12-29,4.1,2.8,5.8,0,,288,24,,1027.3,
2018-12-30,4.7,3.2,6.1,1.2,,287,27,,1024.4,
2018-12-31,4.6,2.2,6.4,0,,321,20,,1029.7,
2019-01-01,5.4,1.4,8.1,0,,252,24,,1024.3,
